1,1.0,0
2,1.0,1
3,2.0,2
4,3.0,3
5,4.0,4
6,5.0,4
7,5.0,4
8,6.0,5
9,8.0,6
10,8.0,6
11,8.0,6
12,9.0,7
13,6.0,6
14,12.0,8
15,10.0,7
16,14.0,9
17,15.0,9
18,12.0,10
19,14.0,11
20,15.0,10
21,16.0,15
26,18.0,20
31,23.0,23
36,28.0,28
41,30.0,30
46,35.0,37
51,37.0,41
56,47.0,43
61,49.0,48
66,50.0,53
71,52.0,56
76,58.0,62
81,63.0,65
86,63.0,68
91,69.0,73
96,76.0,79
101,84.0,83
106,100.0,92
136,118.0,116
166,144.0,139
196,168.0,159
226,193.0,189
256,237.0,210
286,250.0,234
316,286.0,263
346,316.0,292
376,360.0,318
406,365.0,343
436,374.0,362
466,425.0,387
496,484.0,418
526,459.0,452
556,524.0,461
586,530.0,495
